"Date","Steps","Calories","HR_Lowest","HR_Highest","HR_Average","Total_Miles_Moved","Active_Hours","Floors_Climbed","UV_Exposure_Minutes","Total_Seconds_All_Activities","Total_Calories_All_Activities","Sleep_Events","Sleep_Total_Calories","Total_Seconds_Slept","Run_Events","Run_Total_Seconds","Total_Miles_Run","Run_Total_Calories","Bike_Events","Bike_Total_Seconds","Total_Miles_Biked","Bike_Total_Calories","Walk_Events","Walk_Total_Seconds","Total_Miles_Walked","Walk_Total_Calories","Exercise_Events","Exercise_Total_Seconds","Exercise_Total_Calories","Guided_Workout_Events","Guided_Workout_Total_Seconds","Guided_Workout_Total_Calories","Golf_Events","Golf_Total_Seconds","Total_Miles_Golfed","Golf_Total_Calories"
"2016-12-31","2430","2402","36","106","62","1.24611021633659","0","21","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-01","4410","2484","57","111","74","2.28397409130677","0","28","0","0","0","1","762","24237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-02","2106","2524","60","111","77","1.09726696094806","0","36","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-03","1542","2413","44","90","64","0.80334595959596","0","16","0","0","0","2","763","17242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-04","2540","2492","53","91","66","1.3105712638193","0","9","0","0","0","1","704","21454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-05","3950","2420","45","90","62","2.0750193867812","0","22","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-06","5724","2490","44","109","65","2.9317287043665","0","40","0","0","0","1","600","21629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-07","8100","2407","46","120","64","4.16968653066094","0","62","0","0","0","1","339","11089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-08","4256","2448","47","82","65","2.20890002386065","0","25","0","0","0","2","914","33283","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-09","5492","2416","41","101","62","2.85585928179432","0","36","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-10","4572","2390","43","95","62","2.36137208701185","0","36","0","0","0","1","515","19093","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-11","3916","2408","48","94","65","2.05247603992683","0","33","0","0","0","1","635","23039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-12","1024","2138","46","94","63","0.543028712320051","0","10","0","0","0","2","915","34462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-13","3228","2392","44","124","63","1.66246619740714","0","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-14","5672","2435","51","91","67","2.93450001988388","0","50","0","0","0","1","678","24180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-15","1706","2422","42","120","62","0.880445697128768","0","17","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-16","2386","2377","41","110","63","1.25113089556987","0","16","0","0","0","1","964","33313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-17","4750","2443","46","123","64","2.49647061162809","0","30","0","0","0","1","702","23403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-18","4772","2476","45","98","66","2.505443211644","0","32","0","0","0","1","537","18469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-19","1616","2141","53","109","69","0.841523005647021","0","6","0","0","0","2","572","19657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-20","3158","3963","44","188","99","1.63198172671598","1","33","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-21","7416","2563","57","129","73","3.83422065139585","0","57","0","5311","1611","1","1050","35823","0","0","0","0","1","5311","0","1611","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-22","3086","2467","49","105","66","1.62989391951006","0","34","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-23","1548","2423","47","81","63","0.810143760439036","0","14","0","0","0","1","690","23336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-24","5094","2509","51","102","69","2.68992831861926","0","19","0","0","0","1","471","16806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-25","6032","2488","50","120","66","3.14968086375567","0","26","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-26","1074","2147","41","95","60","0.558227451682176","0","3","0","0","0","1","603","21410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-27","13070","2600","46","135","72","6.91228227153424","0","34","0","0","0","1","571","20565","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-28","5536","2479","47","108","69","2.87488566770063","0","9","0","0","0","1","504","15677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-29","3646","2466","44","86","63","1.90586972083035","0","4","0","0","0","1","877","29625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-01-30","4152","2357","43","120","62","2.16106686948222","0","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-01-31","0","2335","","","","0","0","0","0","0","0","1","577","19831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017-02-01","0","2482","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-02","0","2488","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-03","0","2488","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-04","0","2488","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-05","0","2389","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-06","0","885","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-07","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-08","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-09","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-10","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-11","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-12","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-13","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-14","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-15","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-16","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-17","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-18","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-19","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-20","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-21","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-22","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-23","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-24","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-25","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-26","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-27","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-02-28","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-01","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-02","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-03","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-04","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-05","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-06","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-07","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-08","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-09","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-10","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-11","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-13","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-14","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-15","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-16","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-17","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-18","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-19","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-20","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-21","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-22","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-23","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-24","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-25","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-26","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-27","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-28","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-29","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-30","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-03-31","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-01","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-02","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-03","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-04","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-05","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-06","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-07","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-08","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-09","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-10","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-11","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-12","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-13","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-14","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-15","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-16","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-17","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-18","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-19","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-20","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-21","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-22","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-23","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-24","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-25","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-26","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-27","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-28","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-29","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-04-30","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-01","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-02","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-03","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-04","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-05","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-06","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-07","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-08","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-09","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-10","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-11","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-12","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-13","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-14","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-15","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-16","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-17","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-18","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-19","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-20","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-21","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-22","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-23","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-24","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-25","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-26","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-27","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-28","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-29","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-30","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-05-31","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-01","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-02","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-03","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-04","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-05","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-06","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-07","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-08","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-09","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-10","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-11","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-12","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-13","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-14","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-15","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-16","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-17","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-18","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-19","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-20","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-21","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017-06-22","0","0","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
